"SampleID_Fix","SampleID","SampleNumber","SampleType","SampleSubType","TreatRep","Treat.code","ReplicateNumber","Treatment","PlantSpeciesSampled","PlantSpeciesMissing","TreatmentName","Competion","Location","DateCollected","Randomized_Block_DNA_Extraction","WeightExtracted","ExtractionKitType","DNAExtractionLot","DNAConcentration","ExtractionDate","WhoExtracted","Sequencing_Plate","Sequencing_Well","Notes","Description","grass","forb","SampleID.16S","forb.wt","grass.wt","Weight.g","PC.F","strat","FunGroup"
"GLM-0124","GLM_0124",124,"Soil","Rhizosphere_soil","PL4","M",4,"PL","Plantago erecta","None","Stress_avoiding_forb","SingleSpecies","OrchardGreenhouse","3/21/18","H","205.1","MoBio PowerSoil","PS16F2","5.49","7/9/18","Marina",1,"G2","",NA,"none","Plantago erecta","S74",0.1554,NA,0.1554,-1.014532686,"SA","Forb"
"GLM-0125","GLM_0125",125,"Soil","Rhizosphere_soil","PL5","M",5,"PL","Plantago erecta","None","Stress_avoiding_forb","SingleSpecies","OrchardGreenhouse","3/21/18","J","213.8","MoBio PowerSoil","PS16F2","3.7","7/1/18","Marina",1,"G11","",NA,"none","Plantago erecta","S83",0.2096,NA,0.2096,-1.014532686,"SA","Forb"
"GLM-0122","GLM_0122",122,"Soil","Rhizosphere_soil","PL2","M",2,"PL","Plantago erecta","None","Stress_avoiding_forb","SingleSpecies","OrchardGreenhouse","3/21/18","F","213.9","MoBio PowerSoil","PS16F2","3.72","7/11/18","Cassie",2,"B3","",NA,"none","Plantago erecta","S111",0.0442,NA,0.0442,-1.014532686,"SA","Forb"
"GLM-0216","GLM_0216",216,"Soil","Rhizosphere_soil","AVPL1",NA,1,"AVPL","Avena fatua, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","M","173.6","MoBio PowerSoil","PS16F2","3.12","7/2/18","Marina",1,"G3","",NA,"Avena fatua","Plantago erecta","S75",0.0895,0.026,NA,-1.014532686,"SA","grass_x_forb"
"GLM-0217","GLM_0217",217,"Soil","Rhizosphere_soil","AVPL2",NA,2,"AVPL","Avena fatua, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","M","132.7","MoBio PowerSoil","PS16F2","4.88","7/2/18","Marina",2,"H5","",NA,"Avena fatua","Plantago erecta","S185",0.0868,0.1025,NA,-1.014532686,"SA","grass_x_forb"
"GLM-0186","GLM_0186",186,"Soil","Rhizosphere_soil","TAPL1",NA,1,"TAPL","Elymus caput-medusae, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","M","141.3","MoBio PowerSoil","PS16F2","2.89","7/2/18","Marina",1,"F1","",NA,"Elymus caput-medusae","Plantago erecta","S61",0.0612,0.2009,NA,-1.014532686,"SA","grass_x_forb"
"GLM-0187","GLM_0187",187,"Soil","Rhizosphere_soil","TAPL2",NA,2,"TAPL","Elymus caput-medusae, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","G","263.2","MoBio PowerSoil","PS16F2","3.48","7/12/18","Cassie",1,"B8","",NA,"Elymus caput-medusae","Plantago erecta","S20",0.0694,0.0896,NA,-1.014532686,"SA","grass_x_forb"
"GLM-0188","GLM_0188",188,"Soil","Rhizosphere_soil","TAPL3",NA,3,"TAPL","Elymus caput-medusae, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","K","232","MoBio PowerSoil","PS16F2","6.72","6/29/18","Marina",1,"B7","",NA,"Elymus caput-medusae","Plantago erecta","S19",0.0954,0.0792,NA,-1.014532686,"SA","grass_x_forb"
"GLM-0189","GLM_0189",189,"Soil","Rhizosphere_soil","TAPL4",NA,4,"TAPL","Elymus caput-medusae, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","L","264.8","MoBio PowerSoil","PS16F2","8.31","7/6/18","Marina",1,"A12","",NA,"Elymus caput-medusae","Plantago erecta","S12",0.0878,0.093,NA,-1.014532686,"SA","grass_x_forb"
"GLM-0190","GLM_0190",190,"Soil","Rhizosphere_soil","TAPL5",NA,5,"TAPL","Elymus caput-medusae, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","F","195.6","MoBio PowerSoil","PS16F2","3.09","7/11/18","Cassie",2,"H2","",NA,"Elymus caput-medusae","Plantago erecta","S182",0.0484,0.2039,NA,-1.014532686,"SA","grass_x_forb"
"GLM-0121","GLM_0121",121,"Soil","Rhizosphere_soil","PL1","M",1,"PL","Plantago erecta","None","Stress_avoiding_forb","SingleSpecies","OrchardGreenhouse","3/21/18","G","127.6","MoBio PowerSoil","PS15H25","1.01","7/12/18","Cassie",1,"A3","",NA,"none","Plantago erecta","S3",0.0715,NA,0.0715,-1.014532686,"SA","Forb"
"GLM-0226","GLM_0226",226,"Soil","Rhizosphere_soil","BRPL1",NA,1,"BRPL","Bromus hordeaceus, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","L","315","MoBio PowerSoil","PS16F2","3.87","7/6/18","Marina",1,"B3","",NA,"Bromus hordeaceus","Plantago erecta","S15",0.1978,0.0227,NA,-1.014532686,"SA","grass_x_forb"
"GLM-0227","GLM_0227",227,"Soil","Rhizosphere_soil","BRPL2",NA,2,"BRPL","Bromus hordeaceus, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","M","224.1","MoBio PowerSoil","PS16F2","2.16","7/2/18","Marina",2,"G3","",NA,"Bromus hordeaceus","Plantago erecta","S171",0.0445,0.0603,NA,-1.014532686,"SA","grass_x_forb"
"GLM-0228","GLM_0228",228,"Soil","Rhizosphere_soil","BRPL3",NA,3,"BRPL","Bromus hordeaceus, Plantago erecta","None","SA_forb_X_grass","TwoSpecies","OrchardGreenhouse","3/21/18","G","443.4","MoBio PowerSoil","PS16F2","6.51","7/12/18","Cassie",1,"D11","",NA,"Bromus hordeaceus","Plantago erecta","S47",0.0472,0.08,NA,-1.014532686,"SA","grass_x_forb"
